kappa,theta,sigma,rho,v0,r,T,k,price
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.1000000000000003,0.15107814050412882
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.1500000000000004,0.1264946866236345
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.2000000000000004,0.1047362108457568
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.2500000000000004,0.08576496001087303
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.3000000000000005,0.06946718187404599
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.3500000000000005,0.05566771979250501
2.0,0.02,0.1,-0.5,0.07,0.1,1,0.8,0.2814767597806074
2.0,0.02,0.1,-0.5,0.07,0.1,1,0.8500000000000001,0.24064066361773861
2.0,0.02,0.1,-0.5,0.07,0.1,1,0.9000000000000001,0.2021910153498866
2.0,0.02,0.1,-0.5,0.07,0.1,1,0.9500000000000002,0.16674659019557525
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.0000000000000002,0.13483514050800427
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.0500000000000003,0.1068248784117849
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.1000000000000003,0.08288227318221159
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.1500000000000004,0.06296311583420494
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.2000000000000004,0.04683488700000549
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.2500000000000004,0.034121625722081994
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.3000000000000005,0.024359367422078393
2.0,0.02,0.1,-0.5,0.07,0.1,1,1.3500000000000005,0.017050784822029208
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,0.8,0.3171162730873326
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,0.8500000000000001,0.27809082006120855
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,0.9000000000000001,0.2409486912265918
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,0.9500000000000002,0.20612537792091368
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.0000000000000002,0.1740087437757878
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.0500000000000003,0.14490223248494893
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.1000000000000003,0.11899877566443984
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.1500000000000004,0.09636870488040994
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.2000000000000004,0.07696200885757903
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.2500000000000004,0.060622742687444
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.3000000000000005,0.04711178542831723
2.0,0.02,0.1,-0.5,0.07,0.1,1.5,1.3500000000000005,0.03613359550978135
2.0,0.02,0.1,-0.5,0.07,0.1,2,0.8,0.3504161491508774
2.0,0.02,0.1,-0.5,0.07,0.1,2,0.8500000000000001,0.31296445502421866
2.0,0.02,0.1,-0.5,0.07,0.1,2,0.9000000000000001,0.27702163147568803
2.0,0.02,0.1,-0.5,0.07,0.1,2,0.9500000000000002,0.24291771414753927
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.0000000000000002,0.21095634766085236
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.0500000000000003,0.18139196894133847
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.1000000000000003,0.15441223125476766
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.1500000000000004,0.13012748589523515
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.2000000000000004,0.10856786006658958
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.2500000000000004,0.08968732130357526
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.3000000000000005,0.07337328881686439
2.0,0.02,0.1,-0.5,0.07,0.1,2,1.3500000000000005,0.05945991569071413
2.0,0.02,0.2,-0.5,0.05,0.1,1,0.8,0.28049328751522207
2.0,0.02,0.2,-0.5,0.05,0.1,1,0.8500000000000001,0.23871420544367916
2.0,0.02,0.2,-0.5,0.05,0.1,1,0.9000000000000001,0.19891864269426995
2.0,0.02,0.2,-0.5,0.05,0.1,1,0.9500000000000002,0.1617878953628078
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.0000000000000002,0.12802196042751657
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.0500000000000003,0.09824767251997646
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.1000000000000003,0.07291640594808846
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.1500000000000004,0.05221671692880553
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.2000000000000004,0.03602983596822018
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.2500000000000004,0.023946637687206285
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.3000000000000005,0.01534443428443652
2.0,0.02,0.2,-0.5,0.05,0.1,1,1.3500000000000005,0.00949958485521843
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,0.8,0.31644642261340383
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,0.8500000000000001,0.27670235830533263
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,0.9000000000000001,0.23852644861188688
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,0.9500000000000002,0.20237188896388858
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.0000000000000002,0.16870618310196273
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.0500000000000003,0.1379694235080302
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.1000000000000003,0.11052734301124167
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.1500000000000004,0.08662689178668692
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.2000000000000004,0.06636327188224278
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.2500000000000004,0.04966614185731305
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.3000000000000005,0.03630889379732827
2.0,0.02,0.2,-0.5,0.05,0.1,1.5,1.3500000000000005,0.02593941953423015
2.0,0.02,0.2,-0.5,0.05,0.1,2,0.8,0.35005474599859354
2.0,0.02,0.2,-0.5,0.05,0.1,2,0.8500000000000001,0.31208200082766824
2.0,0.02,0.2,-0.5,0.05,0.1,2,0.9000000000000001,0.27537278945667043
2.0,0.02,0.2,-0.5,0.05,0.1,2,0.9500000000000002,0.24025414467167783
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.0000000000000002,0.20706381233458826
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.0500000000000003,0.17612760449067333
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.1000000000000003,0.14773425025336118
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.1500000000000004,0.12211086199044074
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.2000000000000004,0.09940250262930705
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.2500000000000004,0.07965903152541037
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.3000000000000005,0.06283138790907311
2.0,0.02,0.2,-0.5,0.05,0.1,2,1.3500000000000005,0.04877791458212
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,0.8,0.28155470701863305
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,0.8500000000000001,0.2403172865844213
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,0.9000000000000001,0.20117692889917016
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,0.9500000000000002,0.16476163005264433
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.0000000000000002,0.13168662550846943
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.0500000000000003,0.10247604529399212
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.1000000000000003,0.07748464876226535
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.1500000000000004,0.05683827208961867
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.2000000000000004,0.04040997832653914
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.2500000000000004,0.027840534947520257
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.3000000000000005,0.018598843786696212
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1,1.3500000000000005,0.012065603705709999
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,0.8,0.3174328003524599
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,0.8500000000000001,0.27811896380483425
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,0.9000000000000001,0.24045488996325604
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,0.9500000000000002,0.20486632256503856
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.0000000000000002,0.17177739399340264
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.0500000000000003,0.14157331843065712
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.1000000000000003,0.11456170941579291
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.1500000000000004,0.09093880555534939
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.2000000000000004,0.07076689036755701
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.2500000000000004,0.05396756285785653
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.3000000000000005,0.04033245799059276
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,1.5,1.3500000000000005,0.02954931638740177
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,0.8,0.3509012754632984
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,0.8500000000000001,0.31326816825070447
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,0.9000000000000001,0.2769612081800039
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,0.9500000000000002,0.24229237853972319
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.0000000000000002,0.20957531873306867
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.0500000000000003,0.17910442240367663
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.1000000000000003,0.15113307383444963
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.1500000000000004,0.12585369071233687
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.2000000000000004,0.10338224277825137
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.2500000000000004,0.08374941451174267
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.3000000000000005,0.06689963331326992
2.0,0.02,0.2,-0.5,0.060000000000000005,0.1,2,1.3500000000000005,0.0526979728071339
2.0,0.02,0.2,-0.5,0.07,0.1,1,0.8,0.2826735370840461
2.0,0.02,0.2,-0.5,0.07,0.1,1,0.8500000000000001,0.24195818676256486
2.0,0.02,0.2,-0.5,0.07,0.1,1,0.9000000000000001,0.203429262460757
2.0,0.02,0.2,-0.5,0.07,0.1,1,0.9500000000000002,0.1676630888470373
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.0000000000000002,0.13520112734685308
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.0500000000000003,0.10648421653138829
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.1000000000000003,0.08179279094133385
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.1500000000000004,0.06120638135392237
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.2000000000000004,0.044592551237911504
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.2500000000000004,0.03162861266882505
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.3000000000000005,0.021850967027244622
2.0,0.02,0.2,-0.5,0.07,0.1,1,1.3500000000000005,0.014719851194100408
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,0.8,0.31846234549475916
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,0.8500000000000001,0.2795670030908842
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,0.9000000000000001,0.24238938193785198
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,0.9500000000000002,0.2073277247133254
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.0000000000000002,0.17476647275576407
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.0500000000000003,0.145043466064659
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.1000000000000003,0.11841829350850974
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.1500000000000004,0.09504671357336508
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.2000000000000004,0.07496547701462064
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.2500000000000004,0.05809024090278797
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.3000000000000005,0.04422688493547383
2.0,0.02,0.2,-0.5,0.07,0.1,1.5,1.3500000000000005,0.03309402276252532
2.0,0.02,0.2,-0.5,0.07,0.1,2,0.8,0.3517820201959101
2.0,0.02,0.2,-0.5,0.07,0.1,2,0.8500000000000001,0.31448236684937436
2.0,0.02,0.2,-0.5,0.07,0.1,2,0.9000000000000001,0.27856325076679866
2.0,0.02,0.2,-0.5,0.07,0.1,2,0.9500000000000002,0.24432108350930126
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.0000000000000002,0.2120465676061356
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.0500000000000003,0.18200571221324557
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.1000000000000003,0.15442116800729078
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.1500000000000004,0.1294560896239504
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.2000000000000004,0.10720252207554526
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.2500000000000004,0.0876757426449416
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.3000000000000005,0.07081516312114589
2.0,0.02,0.2,-0.5,0.07,0.1,2,1.3500000000000005,0.05649146651131243
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,0.8,0.281521541204636
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,0.8500000000000001,0.23983848755387305
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,0.9000000000000001,0.19994494152619313
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,0.9500000000000002,0.1624544715257732
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.0000000000000002,0.12805817228974348
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.0500000000000003,0.09746394836194727
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.1000000000000003,0.07129377662749037
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.1500000000000004,0.04994683105438519
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.2000000000000004,0.03346727656499526
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.2500000000000004,0.021484194737955264
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.3000000000000005,0.013278408148238718
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1,1.3500000000000005,0.007960072135747384
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,0.8,0.31758650441540914
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,0.8500000000000001,0.27792586532566343
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,0.9000000000000001,0.23967841601966666
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,0.9500000000000002,0.20325016592961265
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.0000000000000002,0.16909172766408198
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.0500000000000003,0.13767187859728047
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.1000000000000003,0.10943598910440422
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.1500000000000004,0.08475090483654069
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.2000000000000004,0.06384412001662493
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.2500000000000004,0.04675228405154824
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.3000000000000005,0.03329787392643285
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,1.5,1.3500000000000005,0.023107869256073693
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,0.8,0.3512175142512761
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,0.8500000000000001,0.3133416788210649
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,0.9000000000000001,0.2766114983385727
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,0.9500000000000002,0.24131743105369374
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.0000000000000002,0.2077769869594005
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.0500000000000003,0.17632065162318566
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.1000000000000003,0.14727154706404222
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.1500000000000004,0.12091951765299336
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.2000000000000004,0.09749197570742607
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.2500000000000004,0.07712572144447905
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.3000000000000005,0.059845405405621555
2.0,0.02,0.30000000000000004,-0.5,0.05,0.1,2,1.3500000000000005,0.04555440799761118
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,0.8,0.2826398156065353
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,0.8500000000000001,0.24146289869840176
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,0.9000000000000001,0.20218417989686566
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,0.9500000000000002,0.16538114596587772
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.0000000000000002,0.13167513416826082
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.0500000000000003,0.10167208113888104
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.1000000000000003,0.07587659571081784
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.1500000000000004,0.05459052038760287
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.2000000000000004,0.03782476721185957
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.2500000000000004,0.025265163541541735
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.3000000000000005,0.016321498823779146
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1,1.3500000000000005,0.010249605492794078
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,0.8,0.31862488203333705
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,0.8500000000000001,0.27936570516822545
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,0.9000000000000001,0.24159629136098582
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,0.9500000000000002,0.20570472289806063
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.0000000000000002,0.17210793296118887
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.0500000000000003,0.14122503413269072
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.1000000000000003,0.11343991455071645
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.1500000000000004,0.08905594754240564
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.2000000000000004,0.06824988850062186
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.2500000000000004,0.05103597906504914
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.3000000000000005,0.037252334858826064
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,1.5,1.3500000000000005,0.026577407536875763
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,0.8,0.3521113313801928
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,0.8500000000000001,0.31455305900717956
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,0.9000000000000001,0.2781980915692823
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,0.9500000000000002,0.24332742989917677
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,1.0000000000000002,0.2102407754648299
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,1.0500000000000003,0.1792421529023943
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,1.1000000000000003,0.15062084596188208
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,1.1500000000000004,0.12462875459035239
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,1.2000000000000004,0.10145649089753683
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,1.2500000000000004,0.08121170194558364
2.0,0.02,0.30000000000000004,-0.5,0.060000000000000005,0.1,2,1.3000000000000005,0.06390377574516687
